topic,paper_ID,text,main_heading,sub_heading,label,pos1,pos2,pos3,citation,head,ofs1,ofs2,ofs3
machine-translation,0,"The computation from the hidden state in the decoder to the output is implemented as a deep neural network ( Pascanu et al. , 2014 ) with a single intermediate layer having 500 maxout units each pooling 2 inputs .",system description,RNN Encoder-Decoder,0,41,6,6,0,system description : RNN Encoder-Decoder,0.1872146118721461,0.07317073170731707,0.5
machine-translation,0,"All the weight parameters in the RNN Encoder - Decoder were initialized by sampling from an isotropic zero-mean ( white ) Gaussian distribution with its standard deviation fixed to 0.01 , except for the recurrent weight parameters .",system description,RNN Encoder-Decoder,0,42,7,7,0,system description : RNN Encoder-Decoder,0.1917808219178082,0.08536585365853659,0.5833333333333334
machine-translation,0,"For the recurrent weight matrices , we first sampled from a white Gaussian distribution and used its left singular vectors matrix , following .",system description,RNN Encoder-Decoder,0,43,8,8,0,system description : RNN Encoder-Decoder,0.1963470319634703,0.0975609756097561,0.6666666666666666
machine-translation,0,"We used Adadelta and stochastic gradient descent to train the RNN Encoder - Decoder with hyperparameters = 10 ?6 and ? = 0.95 ( Zeiler , 2012 ) .",system description,RNN Encoder-Decoder,0,44,9,9,0,system description : RNN Encoder-Decoder,0.2009132420091324,0.10975609756097561,0.75
machine-translation,0,"At each update , we used 64 randomly selected phrase pairs from a phrase table ( which was created from 348 M words ) .",system description,RNN Encoder-Decoder,0,45,10,10,0,system description : RNN Encoder-Decoder,0.2054794520547945,0.12195121951219512,0.8333333333333334
machine-translation,0,The model was trained for approximately three days .,system description,RNN Encoder-Decoder,0,46,11,11,0,system description : RNN Encoder-Decoder,0.2100456621004566,0.13414634146341464,0.9166666666666666
machine-translation,0,Details of the architecture used in the experiments are explained in more depth in the supplementary material .,system description,RNN Encoder-Decoder,0,47,12,12,0,system description : RNN Encoder-Decoder,0.2146118721461187,0.14634146341463414,1.0
machine-translation,0,Hidden Unit that Adaptively Remembers and Forgets,system description,Hidden Unit that Adaptively Remembers and Forgets,0,48,13,1,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2191780821917808,0.15853658536585366,0.043478260869565216
machine-translation,0,"In addition to a novel model architecture , we also propose a new type of hidden unit ( f in Eq .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,49,14,2,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2237442922374429,0.17073170731707318,0.08695652173913043
machine-translation,0,1 ) ) that has been motivated by the LSTM unit but is much simpler to compute and implement .,system description,Hidden Unit that Adaptively Remembers and Forgets,0,50,15,3,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.228310502283105,0.18292682926829268,0.13043478260869565
machine-translation,0,shows the graphical depiction of the proposed hidden unit .,system description,Hidden Unit that Adaptively Remembers and Forgets,0,51,16,4,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2328767123287671,0.1951219512195122,0.17391304347826086
machine-translation,0,Let us describe how the activation of the j - th hidden unit is computed .,system description,Hidden Unit that Adaptively Remembers and Forgets,0,52,17,5,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2374429223744292,0.2073170731707317,0.21739130434782608
machine-translation,0,"First , the reset gate r j is computed by",system description,Hidden Unit that Adaptively Remembers and Forgets,0,53,18,6,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2420091324200913,0.21951219512195122,0.2608695652173913
machine-translation,0,"where ? is the logistic sigmoid function , and [. ] j denotes the j - th element of a vector .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,54,19,7,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2465753424657534,0.23170731707317074,0.30434782608695654
machine-translation,0,"where ? is the logistic sigmoid function , and [. ] j denotes the j - th element of a vector .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,55,20,8,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2511415525114155,0.24390243902439024,0.34782608695652173
machine-translation,0,"and h t?1 are the input and the previous hidden state , respectively .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,56,21,9,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2557077625570776,0.25609756097560976,0.391304347826087
machine-translation,0,rand Ur are weight matrices which are learned .,system description,Hidden Unit that Adaptively Remembers and Forgets,0,57,22,10,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2602739726027397,0.2682926829268293,0.43478260869565216
machine-translation,0,"Similarly , the update gate z j is computed by",system description,Hidden Unit that Adaptively Remembers and Forgets,0,58,23,11,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2648401826484018,0.2804878048780488,0.4782608695652174
machine-translation,0,The actual activation of the proposed unit h j is then computed by,system description,Hidden Unit that Adaptively Remembers and Forgets,0,59,24,12,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2694063926940639,0.2926829268292683,0.5217391304347826
machine-translation,0,wher ? h,system description,Hidden Unit that Adaptively Remembers and Forgets,0,60,25,13,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.273972602739726,0.3048780487804878,0.5652173913043478
machine-translation,0,wher ? h,system description,Hidden Unit that Adaptively Remembers and Forgets,0,61,26,14,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2785388127853881,0.3170731707317073,0.6086956521739131
machine-translation,0,"In this formulation , when the reset gate is close to 0 , the hidden state is forced to ignore the previous hidden state and reset with the current input only .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,62,27,15,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2831050228310502,0.32926829268292684,0.6521739130434783
machine-translation,0,"This effectively allows the hidden state to drop any information that is found to be irrelevant later in the future , thus , allowing a more compact representation .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,63,28,16,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2876712328767123,0.34146341463414637,0.6956521739130435
machine-translation,0,"On the other hand , the update gate controls how much information from the previous hidden state will carryover to the current hidden state .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,64,29,17,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2922374429223744,0.35365853658536583,0.7391304347826086
machine-translation,0,This acts similarly to the memory cell in the LSTM network and helps the RNN to remember longterm information .,system description,Hidden Unit that Adaptively Remembers and Forgets,0,65,30,18,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.2968036529680365,0.36585365853658536,0.782608695652174
machine-translation,0,"Furthermore , this maybe considered an adaptive variant of a leaky - integration unit .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,66,31,19,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.3013698630136986,0.3780487804878049,0.8260869565217391
machine-translation,0,"As each hidden unit has separate reset and update gates , each hidden unit will learn to capture dependencies over different time scales .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,67,32,20,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.3059360730593607,0.3902439024390244,0.8695652173913043
machine-translation,0,"Those units that learn to capture short - term dependencies will tend to have reset gates thatare frequently active , but those that capture longer - term dependencies will have update gates thatare mostly active .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,68,33,21,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.3105022831050228,0.4024390243902439,0.9130434782608695
machine-translation,0,"In our preliminary experiments , we found that it is crucial to use this new unit with gating units .",system description,Hidden Unit that Adaptively Remembers and Forgets,0,69,34,22,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.3150684931506849,0.4146341463414634,0.9565217391304348
machine-translation,0,We were notable to get meaningful result with an oft - used tanh unit without any gating .,system description,Hidden Unit that Adaptively Remembers and Forgets,0,70,35,23,0,system description : Hidden Unit that Adaptively Remembers and Forgets,0.319634703196347,0.4268292682926829,1.0
machine-translation,0,Statistical Machine Translation,system description,Statistical Machine Translation,0,71,36,1,0,system description : Statistical Machine Translation,0.3242009132420091,0.43902439024390244,0.07692307692307693
machine-translation,0,"In a commonly used statistical machine translation system ( SMT ) , the goal of the system ( decoder , specifically ) is to find a translation f given a source sentence e , which maximizes",system description,Statistical Machine Translation,0,72,37,2,0,system description : Statistical Machine Translation,0.3287671232876712,0.45121951219512196,0.15384615384615385
machine-translation,0,"where the first term at the right hand side is called translation model and the latter language model ( see , e.g. , ) .",system description,Statistical Machine Translation,0,73,38,3,0,system description : Statistical Machine Translation,0.3333333333333333,0.4634146341463415,0.23076923076923078
machine-translation,0,"In practice , however , most SMT systems model log p ( f | e ) as a loglinear model with additional features and corre - sponding weights : where f n and w n are the n - th feature and weight , respectively .",system description,Statistical Machine Translation,0,74,39,4,0,system description : Statistical Machine Translation,0.3378995433789954,0.47560975609756095,0.3076923076923077
machine-translation,0,( e ) is a normalization constant that does not depend on the weights .,system description,Statistical Machine Translation,0,75,40,5,0,system description : Statistical Machine Translation,0.3424657534246575,0.4878048780487805,0.38461538461538464
machine-translation,0,The weights are often optimized to maximize the BLEU score on a development set .,system description,Statistical Machine Translation,0,76,41,6,0,system description : Statistical Machine Translation,0.3470319634703196,0.5,0.46153846153846156
machine-translation,0,"In the phrase - based SMT framework introduced in and , the translation model log p ( e | f ) is factorized into the translation probabilities of matching phrases in the source and target sentences .",system description,Statistical Machine Translation,0,77,42,7,0,system description : Statistical Machine Translation,0.3515981735159817,0.5121951219512195,0.5384615384615384
machine-translation,0,2,system description,Statistical Machine Translation,0,78,43,8,0,system description : Statistical Machine Translation,0.3561643835616438,0.524390243902439,0.6153846153846154
machine-translation,0,These probabilities are once again considered additional features in the log - linear model ( see Eq. ) and are weighted accordingly to maximize the BLEU score .,system description,Statistical Machine Translation,0,79,44,9,0,system description : Statistical Machine Translation,0.3607305936073059,0.5365853658536586,0.6923076923076923
machine-translation,0,"Since the neural net language model was proposed in , neural networks have been used widely in SMT systems .",system description,Statistical Machine Translation,0,80,45,10,0,system description : Statistical Machine Translation,0.365296803652968,0.5487804878048781,0.7692307692307693
machine-translation,0,"In many cases , neural networks have been used to rescore translation hypotheses ( n- best lists ) ( see , e.g. , ) .",system description,Statistical Machine Translation,0,81,46,11,0,system description : Statistical Machine Translation,0.3698630136986301,0.5609756097560976,0.8461538461538461
machine-translation,0,"Recently , however , there has been interest in training neural networks to score the translated sentence ( or phrase pairs ) using a representation of the source sentence as an additional input .",system description,Statistical Machine Translation,0,82,47,12,0,system description : Statistical Machine Translation,0.3744292237442922,0.573170731707317,0.9230769230769231
machine-translation,0,"See , e.g. , , and .",system description,Statistical Machine Translation,0,83,48,13,0,system description : Statistical Machine Translation,0.3789954337899543,0.5853658536585366,1.0
machine-translation,0,Scoring Phrase Pairs with RNN Encoder - Decoder,system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,84,49,1,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.3835616438356164,0.5975609756097561,0.08333333333333333
machine-translation,0,Here we propose to train the RNN Encoder - Decoder ( see Sec. 2.2 ) on a table of phrase pairs and use its scores as additional features in the loglinear model in Eq. ( 9 ) when tuning the SMT decoder .,system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,85,50,2,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.3881278538812785,0.6097560975609756,0.16666666666666666
machine-translation,0,"When we train the RNN Encoder - Decoder , we ignore the ( normalized ) frequencies of each phrase pair in the original corpora .",system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,86,51,3,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.3926940639269406,0.6219512195121951,0.25
machine-translation,0,This measure was taken in order ( 1 ) to reduce the computational expense of randomly selecting phrase pairs from a large phrase table according to the normalized frequencies and ( 2 ) to ensure that the RNN Encoder - Decoder does not simply learn to rank the phrase pairs according to their numbers of occurrences .,system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,87,52,4,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.3972602739726027,0.6341463414634146,0.3333333333333333
machine-translation,0,One underlying reason for this choice was that the existing translation probability in the phrase table already reflects the frequencies of the phrase pairs in the original corpus .,system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,88,53,5,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.4018264840182648,0.6463414634146342,0.4166666666666667
machine-translation,0,"With a fixed capacity of the RNN Encoder - Decoder , we try to ensure that most of the capacity of the model is focused toward learning linguistic regularities , i.e. , distinguishing between plausible and implausible translations , or learning the "" manifold "" ( region of probability concentration ) of plausible translations .",system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,89,54,6,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.4063926940639269,0.6585365853658537,0.5
machine-translation,0,"Once the RNN Encoder - Decoder is trained , we add a new score for each phrase pair to the existing phrase table .",system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,90,55,7,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.410958904109589,0.6707317073170732,0.5833333333333334
machine-translation,0,This allows the new scores to enter into the existing tuning algorithm with minimal additional overhead in computation .,system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,91,56,8,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.4155251141552511,0.6829268292682927,0.6666666666666666
machine-translation,0,"As Schwenk pointed out in , it is possible to completely replace the existing phrase table with the proposed RNN Encoder - Decoder .",system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,92,57,9,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.4200913242009132,0.6951219512195121,0.75
machine-translation,0,"In that case , for a given source phrase , the RNN Encoder - Decoder will need to generate a list of ( good ) target phrases .",system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,93,58,10,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.4246575342465753,0.7073170731707317,0.8333333333333334
machine-translation,0,"This requires , however , an expensive sampling procedure to be performed repeatedly .",system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,94,59,11,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.4292237442922374,0.7195121951219512,0.9166666666666666
machine-translation,0,"In this paper , thus , we only consider rescoring the phrase pairs in the phrase table .",system description,Scoring Phrase Pairs with RNN Encoder-Decoder,0,95,60,12,0,system description : Scoring Phrase Pairs with RNN Encoder-Decoder,0.4337899543378995,0.7317073170731707,1.0
machine-translation,0,Related Approaches : Neural Networks in Machine Translation,system description,Related Approaches: Neural Networks in Machine Translation,0,96,61,1,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4383561643835616,0.7439024390243902,0.045454545454545456
machine-translation,0,"Before presenting the empirical results , we discuss a number of recent works that have proposed to use neural networks in the context of SMT .",system description,Related Approaches: Neural Networks in Machine Translation,0,97,62,2,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4429223744292237,0.7560975609756098,0.09090909090909091
machine-translation,0,Schwenk in proposed a similar approach of scoring phrase pairs .,system description,Related Approaches: Neural Networks in Machine Translation,0,98,63,3,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4474885844748858,0.7682926829268293,0.13636363636363635
machine-translation,0,"Instead of the RNN - based neural network , he used a feedforward neural network that has fixed - size inputs ( 7 words in his case , with zero - padding for shorter phrases ) and fixed - size outputs ( 7 words in the target language ) .",system description,Related Approaches: Neural Networks in Machine Translation,0,99,64,4,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4520547945205479,0.7804878048780488,0.18181818181818182
machine-translation,0,"When it is used specifically for scoring phrases for the SMT system , the maximum phrase length is often chosen to be small .",system description,Related Approaches: Neural Networks in Machine Translation,0,100,65,5,0,system description : Related Approaches: Neural Networks in Machine Translation,0.45662100456621,0.7926829268292683,0.22727272727272727
machine-translation,0,"However , as the length of phrases increases or as we apply neural networks to other variable - length sequence data , it is important that the neural network can handle variable - length input and output .",system description,Related Approaches: Neural Networks in Machine Translation,0,101,66,6,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4611872146118721,0.8048780487804879,0.2727272727272727
machine-translation,0,The proposed RNN Encoder - Decoder is well - suited for these applications .,system description,Related Approaches: Neural Networks in Machine Translation,0,102,67,7,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4657534246575342,0.8170731707317073,0.3181818181818182
machine-translation,0,"Similar to , Devlin et al. proposed to use a feedforward neural network to model a translation model , however , by predicting one word in a target phrase at a time .",system description,Related Approaches: Neural Networks in Machine Translation,0,103,68,8,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4703196347031963,0.8292682926829268,0.36363636363636365
machine-translation,0,"They reported an impressive improvement , but their approach still requires the maximum length of the input phrase ( or context words ) to be fixed a priori .",system description,Related Approaches: Neural Networks in Machine Translation,0,104,69,9,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4748858447488584,0.8414634146341463,0.4090909090909091
machine-translation,0,"Although it is not exactly a neural network they train , the authors of proposed to learn a bilingual embedding of words / phrases .",system description,Related Approaches: Neural Networks in Machine Translation,0,105,70,10,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4794520547945205,0.8536585365853658,0.45454545454545453
machine-translation,0,They use the learned embedding to compute the distance between a pair of phrases which is used as an additional score of the phrase pair in an SMT system .,system description,Related Approaches: Neural Networks in Machine Translation,0,106,71,11,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4840182648401826,0.8658536585365854,0.5
machine-translation,0,"In , a feedforward neural network was trained to learn a mapping from a bag - of - words representation of an input phrase to an output phrase .",system description,Related Approaches: Neural Networks in Machine Translation,0,107,72,12,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4885844748858447,0.8780487804878049,0.5454545454545454
machine-translation,0,"This is closely related to both the proposed RNN Encoder - Decoder and the model proposed in , except that their input representation of a phrase is a bag - of - words .",system description,Related Approaches: Neural Networks in Machine Translation,0,108,73,13,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4931506849315068,0.8902439024390244,0.5909090909090909
machine-translation,0,similar approach of using bag - of - words representations was proposed in as well .,system description,Related Approaches: Neural Networks in Machine Translation,0,109,74,14,0,system description : Related Approaches: Neural Networks in Machine Translation,0.4977168949771689,0.9024390243902439,0.6363636363636364
machine-translation,0,"Earlier , a similar encoder - decoder model using two recursive neural networks was proposed in ) , but their model was restricted to a monolingual setting , i.e. the model reconstructs an input sentence .",system description,Related Approaches: Neural Networks in Machine Translation,0,110,75,15,0,system description : Related Approaches: Neural Networks in Machine Translation,0.502283105022831,0.9146341463414634,0.6818181818181818
machine-translation,0,"More recently , another encoder - decoder model using an RNN was proposed in , where the decoder is conditioned on a representation of either a source sentence or a source context .",system description,Related Approaches: Neural Networks in Machine Translation,0,111,76,16,0,system description : Related Approaches: Neural Networks in Machine Translation,0.5068493150684932,0.926829268292683,0.7272727272727273
machine-translation,0,One important difference between the proposed RNN Encoder - Decoder and the approaches in and is that the order of the words in source and target phrases is taken into account .,system description,Related Approaches: Neural Networks in Machine Translation,0,112,77,17,0,system description : Related Approaches: Neural Networks in Machine Translation,0.5114155251141552,0.9390243902439024,0.7727272727272727
machine-translation,0,"The RNN Encoder - Decoder naturally distinguishes between sequences that have the same words but in a different order , whereas the aforementioned approaches effectively ignore order information .",system description,Related Approaches: Neural Networks in Machine Translation,0,113,78,18,0,system description : Related Approaches: Neural Networks in Machine Translation,0.5159817351598174,0.9512195121951219,0.8181818181818182
machine-translation,0,The closest approach related to the proposed RNN Encoder - Decoder is the Recurrent Continuous Translation Model ( Model 2 ) proposed in .,system description,Related Approaches: Neural Networks in Machine Translation,0,114,79,19,0,system description : Related Approaches: Neural Networks in Machine Translation,0.5205479452054794,0.9634146341463414,0.8636363636363636
machine-translation,0,"In their paper , they proposed a similar model that consists of an encoder and decoder .",system description,Related Approaches: Neural Networks in Machine Translation,0,115,80,20,0,system description : Related Approaches: Neural Networks in Machine Translation,0.5251141552511416,0.975609756097561,0.9090909090909091
