topic,paper_ID,text,section,label,position,section_position,citation,length
machine-translation,8,"The whole encoder - decoder system , which consists of the encoder and the decoder for a language pair , is jointly trained to maximize the probability of a correct translation given a source sentence .",introduction,0,16,7,0,36
machine-translation,8,A potential issue with this encoder - decoder approach is that a neural network needs to be able to compress all the necessary information of a source sentence into a fixed - length vector .,introduction,0,17,8,0,35
machine-translation,8,"This may make it difficult for the neural network to cope with long sentences , especially those thatare longer than the sentences in the training corpus .",introduction,0,18,9,0,27
machine-translation,8,showed that indeed the performance of a basic encoder - decoder deteriorates rapidly as the length of an input sentence increases .,introduction,0,19,10,0,22
machine-translation,8,"In order to address this issue , we introduce an extension to the encoder - decoder model which learns to align and translate jointly .",introduction,1,20,11,0,25
machine-translation,8,"Each time the proposed model generates a word in a translation , it ( soft - ) searches for a set of positions in a source sentence where the most relevant information is concentrated .",introduction,1,21,12,0,35
machine-translation,8,The model then predicts a target word based on the context vectors associated with these source positions and all the previous generated target words .,introduction,1,22,13,0,25
machine-translation,8,The most important distinguishing feature of this approach from the basic encoder - decoder is that it does not attempt to encode a whole input sentence into a single fixed - length vector .,introduction,0,23,14,0,34
machine-translation,8,"Instead , it encodes the input sentence into a sequence of vectors and chooses a subset of these vectors adaptively while decoding the translation .",introduction,0,24,15,0,25
machine-translation,8,"This frees a neural translation model from having to squash all the information of a source sentence , regardless of its length , into a fixed - length vector .",introduction,0,25,16,0,30
machine-translation,8,We show this allows a model to cope better with long sentences .,introduction,0,26,17,0,13
machine-translation,8,"In this paper , we show that the proposed approach of jointly learning to align and translate achieves significantly improved translation performance over the basic encoder - decoder approach .",introduction,0,27,18,0,30
machine-translation,8,"The improvement is more apparent with longer sentences , but can be observed with sentences of any length .",introduction,0,28,19,0,19
machine-translation,8,"On the task of English - to - French translation , the proposed approach achieves , with a single model , a translation performance comparable , or close , to the conventional phrase - based system .",introduction,0,29,20,0,37
machine-translation,8,"Furthermore , qualitative analysis reveals that the proposed model finds a linguistically plausible ( soft - ) alignment between a source sentence and the corresponding target sentence .",introduction,0,30,21,0,28
machine-translation,8,background : neural machine translation,introduction,0,31,22,0,5
machine-translation,8,"From a probabilistic perspective , translation is equivalent to finding a target sentence y that maximizes the conditional probability of y given a source sentence x , i.e. , arg max y p ( y | x ) .",introduction,0,32,23,0,39
machine-translation,8,"In neural machine translation , we fit a parameterized model to maximize the conditional probability of sentence pairs using a parallel training corpus .",introduction,0,33,24,0,24
machine-translation,8,"Once the conditional distribution is learned by a translation model , given a source sentence a corresponding translation can be generated by searching for the sentence that maximizes the conditional probability .",introduction,0,34,25,0,32
machine-translation,8,"Recently , a number of papers have proposed the use of neural networks to directly learn this conditional distribution ( see , e.g. , .",introduction,0,35,26,0,25
machine-translation,8,"This neural machine translation approach typically consists of two components , the first of which encodes a source sentence x and the second decodes to a target sentence y .",introduction,0,36,27,0,30
machine-translation,8,"For instance , two recurrent neural networks ( RNN ) were used by and to encode a variable - length source sentence into a fixed - length vector and to decode the vector into a variable - length target sentence .",introduction,0,37,28,0,41
machine-translation,8,"Despite being a quite new approach , neural machine translation has already shown promising results .",introduction,0,38,29,0,16
machine-translation,8,reported that the neural machine translation based on RNNs with long shortterm memory ( LSTM ) units achieves close to the state - of - the - art performance of the conventional phrase - based machine translation system on an English - to - French translation task .,introduction,0,39,30,0,48
machine-translation,8,"1 Adding neural components to existing translation systems , for instance , to score the phrase pairs in the phrase table or to re-rank candidate translations , has allowed to surpass the previous state - of - the - art performance level .",introduction,0,40,31,0,43
machine-translation,8,rnn encoder - decoder,introduction,0,41,32,0,4
machine-translation,8,"Here , we describe briefly the underlying framework , called RNN Encoder - Decoder , proposed by and upon which we build a novel architecture that learns to align and translate simultaneously .",introduction,0,42,33,0,33
machine-translation,8,"In the Encoder - Decoder framework , an encoder reads the input sentence , a sequence of vectors x = ( x 1 , , x Tx ) , into a vector c. 2 The most common approach is to use an RNN such that",introduction,0,43,34,0,45
machine-translation,8,"( 1 ) and c = q ( {h 1 , , h Tx } ) , where ht ?",introduction,0,44,35,0,20
machine-translation,8,"Rn is a hidden state at time t , and c is a vector generated from the sequence of the hidden states .",introduction,0,45,36,0,23
machine-translation,8,f and q are some nonlinear functions .,introduction,0,46,37,0,8
machine-translation,8,"used an LSTM as f and q ( {h 1 , , h T }) = h T , for instance .",introduction,0,47,38,0,22
machine-translation,8,"The decoder is often trained to predict the next wordy t given the context vector c and all the previously predicted words {y 1 , , y t ?1 }.",introduction,0,48,39,0,30
machine-translation,8,"In other words , the decoder defines a probability over the translation y by decomposing the joint probability into the ordered conditionals :",introduction,0,49,40,0,23
machine-translation,8,"where y = y 1 , , y Ty .",introduction,0,50,41,0,10
machine-translation,8,"With an RNN , each conditional probability is modeled as",introduction,0,51,42,0,10
machine-translation,8,"where g is a nonlinear , potentially multi-layered , function that outputs the probability of y t , and st is the hidden state of the RNN .",introduction,0,52,43,0,28
machine-translation,8,It should be noted that other architectures such as a hybrid of an RNN and a de-convolutional neural network can be used .,introduction,0,53,44,0,23
machine-translation,8,LEARNING TO ALIGN AND TRANSLATE,method,0,54,1,0,5
machine-translation,8,"In this section , we propose a novel architecture for neural machine translation .",method,0,55,2,0,14
machine-translation,8,The new architecture consists of a bidirectional RNN as an encoder ( Sec. 3.2 ) and a decoder that emulates searching through a source sentence during decoding a translation ( Sec. 3.1 ) .,method,0,56,3,0,34
machine-translation,8,decoder : general description,method,0,57,4,0,4
machine-translation,8,x 1 x 2 x 3 x T :,method,0,58,5,0,9
machine-translation,8,"The graphical illustration of the proposed model trying to generate the t-th target wordy t given a source sentence ( x 1 , x 2 , . . . , x T ) .",method,0,59,6,0,34
machine-translation,8,"In a new model architecture , we define each conditional probability in Eq .",method,0,60,7,0,14
machine-translation,8,( 2 ) as :,method,0,61,8,0,5
machine-translation,8,"where s i is an RNN hidden state for time i , computed by",method,0,62,9,0,14
machine-translation,8,It should be noted that unlike the existing encoder - decoder approach ( see Eq.,method,0,63,10,0,15
machine-translation,8,"( 2 ) ) , here the probability is conditioned on a distinct context vector c i for each target wordy i .",method,0,64,11,0,23
machine-translation,8,"The context vector c i depends on a sequence of annotations ( h 1 , , h Tx ) to which an encoder maps the input sentence .",method,0,65,12,0,28
machine-translation,8,Each annotation hi contains information about the whole input sequence with a strong focus on the parts surrounding the i - th word of the input sequence .,method,0,66,13,0,28
machine-translation,8,We explain in detail how the annotations are computed in the next section .,method,0,67,14,0,14
machine-translation,8,"The context vector c i is , then , computed as a weighted sum of these annotations hi :",method,0,68,1,0,19
machine-translation,8,the weight ?,method,0,69,2,0,3
machine-translation,8,ij of each annotation h j is computed by,method,0,70,3,0,9
machine-translation,8,"where e ij = a (s i?1 , h j ) is an alignment model which scores how well the inputs around position j and the output at position i match .",method,0,71,4,0,32
machine-translation,8,"The score is based on the RNN hidden state s i ?1 ( just before emitting y i , Eq. ( 4 ) ) and the j - th annotation h j of the input sentence .",method,0,72,5,0,37
machine-translation,8,We parametrize the alignment model a as a feedforward neural network which is jointly trained with all the other components of the proposed system .,method,0,73,6,0,25
machine-translation,8,"Note that unlike in traditional machine translation , the alignment is not considered to be a latent variable .",method,0,74,7,0,19
machine-translation,8,"Instead , the alignment model directly computes a soft alignment , which allows the gradient of the cost function to be backpropagated through .",method,0,75,8,0,24
machine-translation,8,This gradient can be used to train the alignment model as well as the whole translation model jointly .,method,0,76,9,0,19
machine-translation,8,"We can understand the approach of taking a weighted sum of all the annotations as computing an expected annotation , where the expectation is over possible alignments .",method,0,77,10,0,28
machine-translation,8,let ?,method,0,78,11,0,2
machine-translation,8,"ij be a probability that the target wordy i is aligned to , or translated from , a source word x j .",method,0,79,12,0,23
machine-translation,8,"Then , the i - th context vector c i is the expected annotation over all the annotations with probabilities ? ij .",method,0,80,13,0,23
machine-translation,8,the probability ?,method,0,81,14,0,3
machine-translation,8,"ij , or it s associated energy e ij , reflects the importance of the annotation h j with respect to the previous hidden state s i ?1 in deciding the next state s i and generating y i .",method,0,82,15,0,40
machine-translation,8,"Intuitively , this implements a mechanism of attention in the decoder .",method,0,83,16,0,12
machine-translation,8,The decoder decides parts of the source sentence to pay attention to .,method,0,84,17,0,13
machine-translation,8,"By letting the decoder have an attention mechanism , we relieve the encoder from the burden of having to encode all information in the source sentence into a fixedlength vector .",method,0,85,18,0,31
machine-translation,8,"With this new approach the information can be spread throughout the sequence of annotations , which can be selectively retrieved by the decoder accordingly .",method,0,86,19,0,25
machine-translation,8,ENCODER : BIDIRECTIONAL RNN FOR ANNOTATING SEQUENCES,method,0,87,20,0,7
machine-translation,8,"The usual RNN , described in Eq. ( 1 ) , reads an input sequence x in order starting from the first symbol x 1 to the last one x Tx .",method,0,88,21,0,32
machine-translation,8,"However , in the proposed scheme , we would like the annotation of each word to summarize not only the preceding words , but also the following words .",method,0,89,22,0,29
machine-translation,8,"Hence , we propose to use a bidirectional RNN ( BiRNN , , which has been successfully used recently in speech recognition ( see , e.g. , .",method,0,90,23,0,28
machine-translation,8,A BiRNN consists of forward and backward RNN 's .,method,0,91,24,0,10
machine-translation,8,the forward rnn ? ?,method,0,92,25,0,5
machine-translation,8,f reads the input sequence as it is ordered ( from x 1 to x Tx ) and calculates a sequence of forward hidden states (,method,0,93,26,0,26
machine-translation,8,the backward rnn,method,0,94,27,0,3
machine-translation,8,? ?,method,0,95,28,0,2
machine-translation,8,"f reads the sequence in the reverse order ( from x Tx to x 1 ) , resulting in a sequence of backward hidden states (",method,0,96,29,0,26
machine-translation,8,We obtain an annotation for each word x j by concatenating the forward hidden state ? ?,method,0,97,30,0,17
machine-translation,8,h j and the backward one,method,0,98,31,0,6
machine-translation,8,"In this way , the annotation h j contains the summaries of both the preceding words and the following words .",method,0,99,32,0,21
machine-translation,8,"Due to the tendency of RNNs to better represent recent inputs , the annotation h j will be focused on the words around x j .",method,0,100,33,0,26
machine-translation,8,This sequence of annotations is used by the decoder and the alignment model later to compute the context vector ( Eqs. ( 5 ) - ) .,method,0,101,34,0,27
machine-translation,8,See for the graphical illustration of the proposed model .,method,0,102,35,0,10
machine-translation,8,experiment settings,experiment,0,103,1,0,2
machine-translation,8,We evaluate the proposed approach on the task of English - to - French translation .,experiment,0,104,2,0,16
machine-translation,8,"We use the bilingual , parallel corpora provided by ACL WMT ' 14 .",experiment,0,105,3,0,14
machine-translation,8,3,experiment,0,106,4,0,1
machine-translation,8,"As a comparison , we also report the performance of an RNN Encoder - Decoder which was proposed recently by .",method,0,107,1,0,21
machine-translation,8,We use the same training procedures and the same dataset for both models .,method,0,108,2,0,14
machine-translation,8,4,method,0,109,3,0,1
machine-translation,8,dataset,method,0,110,4,0,1
machine-translation,8,"WMT ' 14 contains the following English - French parallel corpora : Europarl ( 61 M words ) , news commentary ( 5.5 M ) , UN ( 421M ) and two crawled corpora of 90 M and 272.5 M words respectively , totaling 850M words .",method,0,111,5,0,47
machine-translation,8,"Following the procedure described in , we reduce the size of the combined corpus to have 348M words using the data selection method by .",method,0,112,6,0,25
machine-translation,8,"We do not use any monolingual data other than the mentioned parallel corpora , although it maybe possible to use a much larger monolingual corpus to pretrain an encoder .",method,0,113,7,0,30
machine-translation,8,"We concatenate news - test - After a usual tokenization 6 , we use a shortlist of 30,000 most frequent words in each language to train our models .",method,0,114,8,0,29
machine-translation,8,Any word not included in the shortlist is mapped to a special token ( [ UNK ] ) .,method,0,115,9,0,19
machine-translation,8,"We do not apply any other special preprocessing , such as lowercasing or stemming , to the data .",method,0,116,10,0,19
machine-translation,8,models,method,0,117,11,0,1
machine-translation,8,We train two types of models .,method,1,118,12,0,7
machine-translation,8,"The first one is an RNN Encoder - Decoder ( RNNencdec , , and the other is the proposed model , to which we refer as RNNsearch .",method,1,119,13,0,28
machine-translation,8,"We train each model twice : first with the sentences of length up to 30 words ( RNNencdec - 30 , RNNsearch - 30 ) and then with the sentences of length up to 50 word ( RNNencdec - 50 , RNNsearch - 50 ) .",method,1,120,14,0,46
machine-translation,8,The encoder and decoder of the RNNencdec have 1000 hidden units each .,method,1,121,15,0,13
machine-translation,8,The encoder of the RNNsearch consists of forward and backward recurrent neural networks ( RNN ) each having 1000 hidden units .,method,1,122,16,0,22
machine-translation,8,It s decoder has 1000 hidden units .,method,1,123,17,0,8
machine-translation,8,"In both cases , we use a multilayer network with a single maxout hidden layer to compute the conditional probability of each target word .",method,1,124,18,0,25
machine-translation,8,We use a minibatch stochastic gradient descent ( SGD ) algorithm together with Adadelta to train each model .,method,0,125,19,0,19
machine-translation,8,Each SGD update direction is computed using a minibatch of 80 sentences .,method,0,126,20,0,13
machine-translation,8,We trained each model for approximately 5 days .,method,0,127,21,0,9
machine-translation,8,"Once a model is trained , we use a beam search to find a translation that approximately maximizes the conditional probability ( see , e.g. , .",method,0,128,22,0,27
machine-translation,8,used this approach to generate translations from their neural machine translation model .,method,0,129,23,0,13
machine-translation,8,"For more details on the architectures of the models and training procedure used in the experiments , see Appendices A and B.",method,0,130,24,0,22
machine-translation,8,results,result,0,131,1,0,1
machine-translation,8,quantitative results,result,0,132,1,0,2
machine-translation,8,In : Four sample alignments found by RNNsearch - 50 .,result,0,133,2,0,11
machine-translation,8,"The x - axis and y-axis of each plot correspond to the words in the source sentence ( English ) and the generated translation ( French ) , respectively .",result,0,134,3,0,30
machine-translation,8,Each pixel shows the weight ?,result,0,135,4,0,6
machine-translation,8,"ij of the annotation of the j - th source word for the i - th target word ( see Eq. ) , in grayscale ( 0 : black , 1 : white ) .",result,0,136,5,0,35
machine-translation,8,( a ) an arbitrary sentence .,result,0,137,6,0,7
machine-translation,8,( b - d ) three randomly selected samples among the sentences without any unknown words and of length between 10 and 20 words from the test set .,result,0,138,7,0,29
machine-translation,8,One of the motivations behind the proposed approach was the use of a fixed - length context vector in the basic encoder - decoder approach .,result,0,139,8,0,26
machine-translation,8,We conjectured that this limitation may make the basic encoder - decoder approach to underperform with long sentences .,result,0,140,9,0,19
machine-translation,8,"In , we see that the performance of RNNencdec dramatically drops as the length of the sentences increases .",result,1,141,10,0,19
machine-translation,8,"On the other hand , both RNNsearch - 30 and RNNsearch - 50 are more robust to the length of the sentences .",result,1,142,11,0,23
machine-translation,8,"RNNsearch - 50 , especially , shows no performance deterioration even with sentences of length 50 or more .",result,1,143,12,0,19
machine-translation,8,This superiority of the proposed model over the basic encoder - decoder is further confirmed by the fact that the RNNsearch - 30 even outperforms RNNencdec - 50 ( see ) .,result,1,144,13,0,32
machine-translation,8,tokens when only the sentences having no unknown words were evaluated ( last column ) .,result,0,145,14,0,16
machine-translation,8,qualitative analysis,result,0,146,15,0,2
machine-translation,8,alignment,result,0,147,16,0,1
machine-translation,8,The proposed approach provides an intuitive way to inspect the ( soft - ) alignment between the words in a generated translation and those in a source sentence .,result,0,148,17,0,29
machine-translation,8,This is done by visualizing the annotation weights ?,result,0,149,18,0,9
machine-translation,8,"ij from Eq. , as in .",result,0,150,19,0,7
machine-translation,8,Each row of a matrix in each plot indicates the weights associated with the annotations .,result,0,151,20,0,16
machine-translation,8,From this we see which positions in the source sentence were considered more important when generating the target word .,result,0,152,21,0,20
machine-translation,8,We can see from the alignments in that the alignment of words between English and French is largely monotonic .,result,0,153,22,0,20
machine-translation,8,We see strong weights along the diagonal of each matrix .,result,0,154,23,0,11
machine-translation,8,"However , we also observe a number of non-trivial , non-monotonic alignments .",result,0,155,24,0,13
machine-translation,8,"Adjectives and nouns are typically ordered differently between French and English , and we see an example in The strength of the soft - alignment , opposed to a hard - alignment , is evident , for instance , from ].",result,0,156,25,0,41
machine-translation,8,We observe similar behaviors in all the presented cases in .,result,0,157,26,0,11
machine-translation,8,"An additional benefit of the soft alignment is that it naturally deals with source and target phrases of different lengths , without requiring a counter - intuitive way of mapping some words to or from nowhere ( [ NULL ] ) ( see , e.g. , Chapters 4 and 5 of .",result,0,158,27,0,52
machine-translation,8,long sentences,result,0,159,28,0,2
machine-translation,8,As clearly visible from the proposed model ( RNNsearch ) is much better than the conventional model ( RNNencdec ) at translating long sentences .,result,0,160,29,0,25
machine-translation,8,"This is likely due to the fact that the RNNsearch does not require encoding along sentence into a fixed - length vector perfectly , but only accurately encoding the parts of the input sentence that surround a particular word .",result,0,161,30,0,40
machine-translation,8,"As an example , consider this source sentence from the test set :",result,0,162,31,0,13
machine-translation,8,"An admitting privilege is the right of a doctor to admit a patient to a hospital or a medical centre to carry out a diagnosis or a procedure , based on his status as a healthcare worker at a hospital .",result,0,163,32,0,41
machine-translation,8,The RNNencdec - 50 translated this sentence into :,result,0,164,33,0,9
machine-translation,8,Un privilge d'admission est le droit d'un mdecin de reconnatre un patient l'hpital ou un centre mdical d'un diagnostic ou de prendre un diagnostic en fonction de sontat de sant .,result,0,165,34,0,31
machine-translation,8,"On the other hand , the RNNsearch - 50 generated the following correct translation , preserving the whole meaning of the input sentence without omitting any details :",result,0,166,35,0,28
machine-translation,8,"Un privilge d'admission est le droit d'un mdecin d'admettre un patient un hpital ou un centre mdical pour effectuer un diagnostic ou une procdure , selon son statut de travailleur des soins de sant l'hpital .",result,0,167,36,0,36
machine-translation,8,Let us consider another sentence from the test set :,result,0,168,37,0,10
machine-translation,8,"This kind of experience is part of Disney 's efforts to "" extend the lifetime of its series and build new relationships with audiences via digital platforms thatare becoming evermore important , "" he added .",result,0,169,38,0,36
machine-translation,8,The translation by the RNNencdec - 50 is,result,0,170,39,0,8
machine-translation,8,"Ce type d'exprience fait partie des initiatives du Disney pour "" prolonger la dure de vie de ses nouvelles et de dvelopper des liens avec les lecteurs numriques qui deviennent plus complexes .",result,0,171,40,0,33
machine-translation,8,"As with the previous example , the RNNencdec began deviating from the actual meaning of the source sentence after generating approximately 30 words ( see the underlined phrase ) .",result,0,172,41,0,30
machine-translation,8,"After that point , the quality of the translation deteriorates , with basic mistakes such as the lack of a closing quotation mark .",result,0,173,42,0,24
machine-translation,8,"Again , the RNNsearch - 50 was able to translate this long sentence correctly :",result,0,174,43,0,15
machine-translation,8,"Ce genre d'exprience fait partie des efforts de Disney pour "" prolonger la dure de vie de ses sries et crer de nouvelles relations avec des publics via des plateformes numriques de plus en plus importantes "" , a-t - il ajout .",result,0,175,44,0,43
machine-translation,8,"In conjunction with the quantitative results presented already , these qualitative observations confirm our hypotheses that the RNNsearch architecture enables far more reliable translation of long sentences than the standard RNNencdec model .",result,0,176,45,0,33
machine-translation,8,"In Appendix C , we provide a few more sample translations of long source sentences generated by the RNNencdec - 50 , RNNsearch - 50 and Google Translate along with the reference translations .",result,0,177,46,0,34
machine-translation,8,6 related work,related work,0,178,1,0,3
machine-translation,8,learning to align,related work,0,179,2,0,3
machine-translation,8,A similar approach of aligning an output symbol with an input symbol was proposed recently by in the context of handwriting synthesis .,related work,0,180,3,0,23
machine-translation,8,Handwriting synthesis is a task where the model is asked to generate handwriting of a given sequence of characters .,related work,0,181,4,0,20
machine-translation,8,"In his work , he used a mixture of Gaussian kernels to compute the weights of the annotations , where the location , width and mixture coefficient of each kernel was predicted from an alignment model .",related work,0,182,5,0,37
machine-translation,8,"More specifically , his alignment was restricted to predict the location such that the location increases monotonically .",related work,0,183,6,0,18
machine-translation,8,"The main difference from our approach is that , in , the modes of the weights of the annotations only move in one direction .",related work,0,184,7,0,25
machine-translation,8,"In the context of machine translation , this is a severe limitation , as ( long - distance ) reordering is often needed to generate a grammatically correct translation ( for instance , English - to - German ) .",related work,0,185,8,0,40
machine-translation,8,"Our approach , on the other hand , requires computing the annotation weight of every word in the source sentence for each word in the translation .",related work,0,186,9,0,27
machine-translation,8,This drawback is not severe with the task of translation in which most of input and output sentences are only 15 - 40 words .,related work,0,187,10,0,25
machine-translation,8,"However , this may limit the applicability of the proposed scheme to other tasks .",related work,0,188,11,0,15
machine-translation,8,NEURAL NETWORKS FOR MACHINE TRANSLATION,related work,0,189,12,0,5
machine-translation,8,"Since introduced a neural probabilistic language model which uses a neural network to model the conditional probability of a word given a fixed number of the preceding words , neural networks have widely been used in machine translation .",related work,0,190,13,0,39
machine-translation,8,"However , the role of neural networks has been largely limited to simply providing a single feature to an existing statistical machine translation system or to re-rank a list of candidate translations provided by an existing system .",related work,0,191,14,0,38
machine-translation,8,"For instance , proposed using a feedforward neural network to compute the score of a pair of source and target phrases and to use the score as an additional feature in the phrase - based statistical machine translation system .",related work,0,192,15,0,40
machine-translation,8,"More recently , and reported the successful use of the neural networks as a sub-component of the existing translation system .",related work,0,193,16,0,21
machine-translation,8,"Traditionally , a neural network trained as a target - side language model has been used to rescore or rerank a list of candidate translations ( see , e.g. , .",related work,0,194,17,0,31
machine-translation,8,"Although the above approaches were shown to improve the translation performance over the stateof - the - art machine translation systems , we are more interested in a more ambitious objective of designing a completely new translation system based on neural networks .",related work,0,195,18,0,43
machine-translation,8,The neural machine translation approach we consider in this paper is therefore a radical departure from these earlier works .,related work,0,196,19,0,20
machine-translation,8,"Rather than using a neural network as apart of the existing system , our model works on its own and generates a translation from a source sentence directly .",related work,0,197,20,0,29
machine-translation,8,conclusion,related work,0,198,21,0,1
machine-translation,8,"The conventional approach to neural machine translation , called an encoder - decoder approach , encodes a whole input sentence into a fixed - length vector from which a translation will be decoded .",related work,0,199,22,0,34
machine-translation,8,"We conjectured that the use of a fixed - length context vector is problematic for translating long sentences , based on a recent empirical study reported by and .",related work,0,200,23,0,29
machine-translation,8,"In this paper , we proposed a novel architecture that addresses this issue .",related work,0,201,24,0,14
machine-translation,8,"We extended the basic encoder - decoder by letting a model ( soft - ) search for a set of input words , or their annotations computed by an encoder , when generating each target word .",related work,0,202,25,0,37
machine-translation,8,"This frees the model from having to encode a whole source sentence into a fixed - length vector , and also lets the model focus only on information relevant to the generation of the next target word .",related work,0,203,26,0,38
machine-translation,8,This has a major positive impact on the ability of the neural machine translation system to yield good results on longer sentences .,related work,0,204,27,0,23
machine-translation,8,"Unlike with the traditional machine translation systems , all of the pieces of the translation system , including the alignment mechanism , are jointly trained towards a better log-probability of producing correct translations .",related work,0,205,28,0,34
machine-translation,8,"We tested the proposed model , called RNNsearch , on the task of English - to - French translation .",related work,0,206,29,0,20
machine-translation,8,"The experiment revealed that the proposed RNNsearch outperforms the conventional encoder - decoder model ( RNNencdec ) significantly , regardless of the sentence length and that it is much more robust to the length of a source sentence .",related work,0,207,30,0,39
machine-translation,8,"From the qualitative analysis where we investigated the ( soft - ) alignment generated by the RNNsearch , we were able to conclude that the model can correctly align each target word with the relevant words , or their annotations , in the source sentence as it generated a correct translation .",related work,0,208,31,0,52
machine-translation,8,"Perhaps more importantly , the proposed approach achieved a translation performance comparable to the existing phrase - based statistical machine translation .",related work,0,209,32,0,22
machine-translation,8,"It is a striking result , considering that the proposed architecture , or the whole family of neural machine translation , has only been proposed as recently as this year .",related work,0,210,33,0,31
machine-translation,8,We believe the architecture proposed here is a promising step toward better machine translation and a better understanding of natural languages in general .,related work,0,211,34,0,24
machine-translation,8,"One of challenges left for the future is to better handle unknown , or rare words .",related work,0,212,35,0,17
machine-translation,8,This will be required for the model to be more widely used and to match the performance of current state - of - the - art machine translation systems in all contexts .,related work,0,213,36,0,33
machine-translation,8,a model architecture,related work,0,214,37,0,3
machine-translation,8,a.1 architectural choices,related work,0,215,38,0,3
machine-translation,8,"The proposed scheme in Section 3 is a general framework where one can freely define , for instance , the activation functions f of recurrent neural networks ( RNN ) and the alignment model a .",related work,0,216,39,0,36
machine-translation,8,"Here , we describe the choices we made for the experiments in this paper .",related work,0,217,40,0,15
machine-translation,8,A.1.1 RECURRENT NEURAL NETWORK,related work,0,218,41,0,4
machine-translation,8,"For the activation function f of an RNN , we use the gated hidden unit recently proposed by .",related work,0,219,42,0,19
machine-translation,8,The gated hidden unit is an alternative to the conventional simple units such as an element - wise tanh .,related work,0,220,43,0,20
machine-translation,8,"This gated unit is similar to along short - term memory ( LSTM ) unit proposed earlier by , sharing with it the ability to better model and learn long - term dependencies .",related work,0,221,44,0,34
machine-translation,8,This is made possible by having computation paths in the unfolded RNN for which the product of derivatives is close to 1 .,related work,0,222,45,0,23
machine-translation,8,These paths allow gradients to flow backward easily without suffering too much from the vanishing effect .,related work,0,223,46,0,17
machine-translation,8,"It is therefore possible to use LSTM units instead of the gated hidden unit described here , as was done in a similar context by .",related work,0,224,47,0,26
machine-translation,8,The new state s i of the RNN employing n gated hidden units 8 is computed by,related work,0,225,48,0,17
machine-translation,8,"where is an element - wise multiplication , and z i is the output of the update gates ( see below ) .",related work,0,226,49,0,23
machine-translation,8,The proposed updated states i is computed b ?,related work,0,227,50,0,9
machine-translation,8,where e ( y,related work,0,228,51,0,4
machine-translation,8,i?1 ) ?,related work,0,229,52,0,3
machine-translation,8,"R m is an m-dimensional embedding of a wordy i ?1 , and r i is the output of the reset gates ( see below ) .",related work,0,230,53,0,27
machine-translation,8,"When y i is represented as a 1 - of - K vector , e ( y i ) is simply a column of an embedding matrix E ?",related work,0,231,54,0,29
machine-translation,8,r mk .,related work,0,232,55,0,3
machine-translation,8,"Whenever possible , we omit bias terms to make the equations less cluttered .",related work,0,233,56,0,14
machine-translation,8,"The update gates z i allow each hidden unit to maintain its previous activation , and the reset gates r i control how much and what information from the previous state should be reset .",related work,0,234,57,0,35
machine-translation,8,we compute them by,related work,0,235,58,0,4
machine-translation,8,where ? ( ) is a logistic sigmoid function .,related work,0,236,59,0,10
machine-translation,8,"At each step of the decoder , we compute the output probability ( Eq. ( 4 ) ) as a multi -layered function .",related work,0,237,60,0,24
machine-translation,8,We use a single hidden layer of maxout units and normalize the output probabilities ( one for each word ) with a softmax function ( see Eq. ) .,related work,0,238,61,0,29
machine-translation,8,A.1.2 ALIGNMENT MODEL,related work,0,239,62,0,3
machine-translation,8,The alignment model should be designed considering that the model needs to be evaluated T x Ty times for each sentence pair of lengths T x and Ty .,related work,0,240,63,0,29
